location,elevation,slope,soil_type,date,flood_severity,drought_severity,temperature_max,temperature_min,precipitation,wind_speed_max,humidity_mean,soil_moisture,river_flow,groundwater_level,reservoir_level,year,month,day,week,day_of_week,is_weekend,cumulative_precipitation,lag_groundwater_level_1d,lag_groundwater_level_7d,rolling_mean_water_7d,rolling_std_water_7d,precipitation_normalized,groundwater_level_normalized,cumulative_precipitation_normalized,flood,drought
Yagoua,200,5,Loamy,2000-01-01,80,30,35.4,19.7,0,12.1,31.0,0.096,250,10,75,2000,1,1,52,5,1,0,10.0,10.0,12.0,3.109126351029605,0.0,0.22222222222222232,0.0,0,1
Yagoua,200,5,Loamy,2000-01-02,60,50,35.7,19.5,0,14.4,29.416666666667,0.096,300,15,80,2000,1,2,52,6,1,0,10.0,10.0,12.0,3.109126351029605,0.0,0.7777777777777777,0.0,0,1
Yagoua,200,5,Loamy,2000-01-03,20,90,34.4,20.4,0,15.1,30.25,0.096,150,12,60,2000,1,3,1,0,0,0,15.0,10.0,12.0,3.109126351029605,0.0,0.4444444444444444,0.0,0,1
Yagoua,200,5,Loamy,2000-01-04,50,30,33.2,20.0,0,18.6,26.583333333333,0.096,200,8,50,2000,1,4,1,1,0,0,12.0,10.0,12.0,3.109126351029605,0.0,0.0,0.0,0,1
Yagoua,200,5,Loamy,2000-01-05,85,40,31.6,18.9,0,18.4,30.583333333333,0.096,220,10,70,2000,1,5,1,2,0,0,8.0,10.0,12.0,3.109126351029605,0.0,0.22222222222222232,0.0,0,1
Yagoua,200,5,Loamy,2000-01-06,55,50,32.0,17.6,0,15.6,31.875,0.096,260,12,78,2000,1,6,1,3,0,0,10.0,10.0,12.0,3.109126351029605,0.0,0.4444444444444444,0.0,0,1
Yagoua,200,5,Loamy,2000-01-07,20,85,32.3,17.8,0,14.5,28.458333333333,0.096,310,17,82,2000,1,7,1,4,0,0,12.0,10.0,12.0,3.109126351029605,0.0,1.0,0.0,0,1
Yagoua,200,5,Loamy,2000-01-08,95,25,31.9,18.0,0,15.3,24.458333333333,0.096,160,13,65,2000,1,8,1,5,1,0,17.0,10.0,12.428571428571429,2.9920529661723827,0.0,0.5555555555555556,0.0,0,1
Yagoua,200,5,Loamy,2000-01-09,15,60,31.8,17.8,0,16.2,24.0,0.096,210,9,55,2000,1,9,1,6,1,0,13.0,15.0,11.571428571428571,2.9920529661723827,0.0,0.11111111111111116,0.0,0,1
Yagoua,200,5,Loamy,2000-01-10,60,30,32.4,17.6,0,14.1,26.083333333333,0.096,230,11,72,2000,1,10,2,0,0,0,9.0,12.0,11.428571428571429,2.9920529661723827,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-11,15,65,32.7,17.7,0,15.0,26.208333333333,0.096,230,11,72,2000,1,11,2,1,0,0,11.0,8.0,11.857142857142858,2.6095064302514777,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-12,15,65,33.4,18.2,0,12.4,22.916666666667,0.096,230,11,72,2000,1,12,2,2,0,0,11.0,10.0,12.0,2.5166114784235836,0.0,0.33333333333333326,0.0,0,1
Yagoua,200,5,Loamy,2000-01-13,15,65,34.5,18.8,0,10.9,20.791666666667,0.096,230,11,72,2000,1,13,2,3,0,0,11.0,12.0,11.857142857142858,2.5448360411214077,0.0,0.33333333333333326,0.0,0,1
