location,event_date,flood_severity,drought_severity
Yagoua,01/01/2000,80,30
Yagoua,02/01/2000,60,50
Yagoua,03/01/2000,20,90
Yagoua,04/01/2000,50,30
Yagoua,05/01/2000,85,40
Yagoua,06/01/2000,55,50
Yagoua,07/01/2000,20,85
Yagoua,08/01/2000,95,25
Yagoua,09/01/2000,15,60
Yagoua,10/01/2000,60,30
Yagoua,11/01/2000,15,65
Yagoua,12/01/2000,15,65
Yagoua,13/01/2000,15,65
Yagoua,14/01/2000,15,65
Yagoua,15/01/2000,15,80
Yagoua,16/01/2000,15,80
Yagoua,17/01/2000,15,80
Yagoua,18/01/2000,15,80
Yagoua,19/01/2000,15,80
Yagoua,20/01/2000,15,80
Yagoua,21/01/2000,15,80
Yagoua,22/01/2000,15,80
Yagoua,23/01/2000,15,80
Yagoua,24/01/2000,15,80
Yagoua,25/01/2000,15,80
Yagoua,26/01/2000,15,80
Yagoua,27/01/2000,15,80
Yagoua,28/01/2000,15,80
Yagoua,29/01/2000,15,80
Yagoua,30/01/2000,15,80
Yagoua,31/01/2000,15,80
