measurement_date,river_flow,groundwater_level,reservoir_level
2000-01-01,250,10,75
2000-01-02,300,15,80
2000-01-03,150,12,60
2000-01-04,200,8,50
2000-01-05,220,10,70
2000-01-06,260,12,78
2000-01-07,310,17,82
2000-01-08,160,13,65
2000-01-09,210,9,55
2000-01-10,230,11,72
2000-01-11,230,11,72
2000-01-12,230,11,72
2000-01-13,230,11,72
2000-01-14,230,11,72
2000-01-15,230,11,72
2000-01-16,230,11,72
2000-01-17,230,11,72
2000-01-18,230,11,72
2000-01-19,230,11,72
2000-01-20,230,11,72
2000-01-21,230,11,72
2000-01-22,230,11,72
2000-01-23,230,11,72
2000-01-24,230,11,72
2000-01-25,230,11,72
2000-01-26,230,11,72
2000-01-27,230,11,72
2000-01-28,230,11,72
2000-01-29,230,11,72
2000-01-30,230,11,72
2000-01-31,230,11,72
