location,elevation,slope,soil_type,date,flood_severity,drought_severity,temperature_max,temperature_min,precipitation,wind_speed_max,humidity_mean,soil_moisture,river_flow,groundwater_level,reservoir_level
Yagoua,200,5,Loamy,2000-01-01,80,30,35.4,19.7,0,12.1,31.0,0.096,250,10,75
Yagoua,200,5,Loamy,2000-01-02,60,50,35.7,19.5,0,14.4,29.416666666667,0.096,300,15,80
Yagoua,200,5,Loamy,2000-01-03,20,90,34.4,20.4,0,15.1,30.25,0.096,150,12,60
Yagoua,200,5,Loamy,2000-01-04,50,30,33.2,20.0,0,18.6,26.583333333333,0.096,200,8,50
Yagoua,200,5,Loamy,2000-01-05,85,40,31.6,18.9,0,18.4,30.583333333333,0.096,220,10,70
Yagoua,200,5,Loamy,2000-01-06,55,50,32.0,17.6,0,15.6,31.875,0.096,260,12,78
Yagoua,200,5,Loamy,2000-01-07,20,85,32.3,17.8,0,14.5,28.458333333333,0.096,310,17,82
Yagoua,200,5,Loamy,2000-01-08,95,25,31.9,18.0,0,15.3,24.458333333333,0.096,160,13,65
Yagoua,200,5,Loamy,2000-01-09,15,60,31.8,17.8,0,16.2,24.0,0.096,210,9,55
Yagoua,200,5,Loamy,2000-01-10,60,30,32.4,17.6,0,14.1,26.083333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-11,15,65,32.7,17.7,0,15.0,26.208333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-12,15,65,33.4,18.2,0,12.4,22.916666666667,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-13,15,65,34.5,18.8,0,10.9,20.791666666667,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-14,15,65,35.1,18.8,0,9.6,24.833333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-15,15,80,36.0,19.6,0,12.8,22.25,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-16,15,80,35.7,19.3,0,15.8,21.416666666667,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-17,15,80,35.4,19.7,0,15.6,21.666666666667,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-18,15,80,35.0,19.5,0,12.7,22.958333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-19,15,80,35.7,19.0,0,12.9,22.958333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-20,15,80,37.1,20.2,0,14.4,20.958333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-21,15,80,36.7,20.6,0,17.0,18.416666666667,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-22,15,80,37.2,18.4,0,18.7,20.208333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-23,15,80,36.9,18.3,0,13.4,17.583333333333,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-24,15,80,37.7,17.6,0,13.8,16.5,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-25,15,80,37.8,18.4,0,17.3,17.75,0.096,230,11,72
Yagoua,200,5,Loamy,2000-01-26,15,80,38.1,18.3,0,13.1,17.291666666667,0.095583333333333,230,11,72
Yagoua,200,5,Loamy,2000-01-27,15,80,38.4,20.3,0,18.6,13.583333333333,0.095375,230,11,72
Yagoua,200,5,Loamy,2000-01-28,15,80,35.7,21.8,0,20.4,14.25,0.095,230,11,72
Yagoua,200,5,Loamy,2000-01-29,15,80,31.6,18.5,0,19.4,14.333333333333,0.095,230,11,72
Yagoua,200,5,Loamy,2000-01-30,15,80,30.5,16.0,0,15.9,16.208333333333,0.095,230,11,72
Yagoua,200,5,Loamy,2000-01-31,15,80,30.0,15.4,0,15.0,17.25,0.095,230,11,72
