date,temp_max,temp_min,precipitation,soil_moisture,Watershed,river_flow,groundwater_level,reservoir_level,location,flood_severity,drought_severity,elevation,slope,soil_type,3d_precip_sum,7d_precip_avg,temp_range,temp_7d_avg,river_flow_3d_diff,groundwater_7d_avg,days_since_rain
2024-09-30,32.7,23.8,2.8,79.68,1,659,0,79.0,Yagoua,1,0,330,3,silty,2.8,2.8,8.900000000000002,32.7,0.0,0.0,0
2024-09-29,32.5,23.6,2.5,80.43,1,692,0,79.0,Yagoua,1,0,330,3,silty,5.3,2.65,8.899999999999999,32.6,0.0,0.0,0
2024-09-28,32.4,23.4,0.0,80.43,1,704,0,80.5,Yagoua,1,0,330,3,silty,5.3,1.7666666666666666,9.0,32.53333333333333,0.0,0.0,2
2024-09-27,32.0,23.4,0.0,81.32,1,717,0,80.5,Yagoua,1,0,330,3,silty,2.5,1.325,8.600000000000001,32.4,58.0,0.0,3
2024-09-26,32.0,23.4,0.0,82.07,1,730,0,80.5,Yagoua,1,0,330,3,silty,0.0,1.06,8.600000000000001,32.32,38.0,0.0,4
2024-09-25,32.0,23.4,3.111,82.07,1,782,0,80.5,Yagoua,1,0,330,3,silty,3.111,1.4018333333333333,8.600000000000001,32.266666666666666,78.0,0.0,0
2024-09-24,32.1,23.1,2.5,82.07,1,813,0,80.5,Yagoua,1,0,330,3,silty,5.611000000000001,1.5587142857142857,9.0,32.24285714285714,96.0,0.0,0
2024-09-23,32.0,23.1,4.2,82.64,1,826,0,80.5,Yagoua,1,0,330,3,silty,9.811,1.758714285714286,8.899999999999999,32.142857142857146,96.0,0.0,0
2024-09-22,32.0,23.1,4.2,82.64,0,822,0,82.0,Yagoua,1,0,330,3,silty,10.899999999999999,2.0015714285714283,8.899999999999999,32.07142857142857,40.0,0.0,0
2024-09-21,32.0,23.1,3.8,82.64,1,813,0,82.0,Yagoua,1,0,330,3,silty,12.2,2.5444285714285715,8.899999999999999,32.01428571428572,0.0,0.0,0
