location,elevation,slope,soil_type,date,flood_severity,drought_severity,temp_max,temp_min,precipitation,soil_moisture,Watershed,river_flow,groundwater_level,reservoir_level,year,month,day,week,day_of_week,is_weekend,cumulative_precipitation,lag_groundwater_level_1d,lag_groundwater_level_7d,rolling_mean_water_7d,rolling_std_water_7d,precipitation_normalized,groundwater_level_normalized,cumulative_precipitation_normalized,flood,drought
Yagoua,330,3,silty,2010-12-31,0,1,33.0,19.0,0.0,17.65,0,49,0,49.0,2010,12,31,52,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-01,0,1,33.0,19.0,0.0,14.78,0,49,0,47.0,2011,1,1,52,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-02,0,1,33.0,19.0,0.0,14.78,0,48,0,47.0,2011,1,2,52,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-03,0,1,33.0,19.0,0.0,14.78,0,48,0,45.0,2011,1,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-04,0,1,33.0,19.0,0.0,14.78,0,45,0,45.0,2011,1,4,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-05,0,1,33.0,19.0,0.0,14.78,0,45,0,45.0,2011,1,5,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-06,0,1,33.0,19.0,0.0,14.78,0,44,0,45.0,2011,1,6,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-07,0,1,33.0,19.0,0.0,14.78,0,44,0,45.0,2011,1,7,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-08,0,1,33.0,19.0,0.0,14.78,0,44,0,44.5,2011,1,8,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
Yagoua,330,3,silty,2011-01-09,0,1,33.0,19.0,0.0,14.78,0,44,0,44.5,2011,1,9,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
