measurement_date,river_flow,groundwater_level,reservoir_level
2024-09-30,659,0,79
2024-09-29,692,0,79
2024-09-28,704,0,80.5
2024-09-27,717,0,80.5
2024-09-26,730,0,80.5
2024-09-25,782,0,80.5
2024-09-24,813,0,80.5
2024-09-23,826,0,80.5
2024-09-22,822,0,82
2024-09-21,813,0,82
2024-09-20,804,0,82
2024-09-19,808,0,82
2024-09-18,813,0,82
2024-09-17,817,0,82
2024-09-16,822,0,82
2024-09-15,831,0,82
2024-09-14,813,0,84
2024-09-13,795,0,84
2024-09-12,795,0,84
2024-09-11,768,0,84
2024-09-10,768,0,84
2024-09-09,755,0,84
2024-09-08,742,0,86
2024-09-07,734,0,87
2024-09-06,725,0,89
2024-09-05,717,0,90
2024-09-04,704,0,92
2024-09-03,700,0,92
2024-09-02,684,0,94
2024-09-01,643,0,97
2024-08-31,615,0,97
2024-08-30,611,0,97
2024-08-29,611,0,97
2024-08-28,643,0,97
2024-08-27,675,0,97
2024-08-26,725,0,97
2024-08-25,713,0,97
2024-08-24,692,0,97
2024-08-23,679,0,97
2024-08-22,651,0,97
2024-08-21,647,0,97
2024-08-20,643,0,97
2024-08-19,651,0,97
2024-08-18,655,0,97
2024-08-17,659,0,97
2024-08-16,692,0,97
2024-08-15,704,0,97
2024-08-14,692,0,97.5
2024-08-13,659,0,97.5
2024-08-12,651,0,97.5
2024-08-11,651,0,97.5
2024-08-10,631,0,97.5
2024-08-09,639,0,97.5
2024-08-08,639,0,97.5
2024-08-07,623,0,97.5
2024-08-06,580,0,97.5
2024-08-05,561,0,96
2024-08-04,565,0,96
2024-08-03,569,0,96
2024-08-02,561,0,92
2024-08-01,554,0,92
2024-07-31,573,0,92
2024-07-30,592,0,88
2024-07-29,584,0,88
2024-07-28,543,0,88
2024-07-27,485,0,88
2024-07-26,458,0,87
2024-07-25,434,0,86
2024-07-24,370,0,85
2024-07-23,349,0,85
2024-07-22,358,0,85
2024-07-21,373,0,85
2024-07-20,361,0,83.5
2024-07-19,343,0,83.5
2024-07-18,343,0,80
2024-07-17,340,0,79
2024-07-16,305,0,78
2024-07-15,274,0,77
2024-07-14,225,0,77
2024-07-13,214,0,76
2024-07-12,198,0,76
2024-07-11,170,0,76
2024-07-10,144,0,76
2024-07-09,131,0,76
2024-07-08,122,0,74
2024-07-07,121,0,73
2024-07-06,117,0,73
2024-07-05,115,0,73
2024-07-04,114,0,73
2024-07-03,115,0,71
2024-07-02,119,0,70
2024-07-01,121,0,69
2024-06-30,116,0,67.5
2024-06-29,114,0,67.5
2024-06-28,107,0,67.5
2024-06-27,102,0,67.5
2024-06-26,95,0,65
2024-06-25,93,0,63.5
2024-06-24,87,0,63.5
2024-06-23,81,0,63.5
2024-06-22,79,0,62
2024-06-21,72,0,62
2024-06-20,70,0,62
2024-06-19,62,0,62
2024-06-18,63,0,62
2024-06-17,59,0,61
2024-06-16,54,0,61
2024-06-15,53,0,61
2024-06-14,53,0,61
2024-06-13,53,0,59.5
2024-06-12,50,0,59.5
2024-06-11,51,0,58.5
2024-06-10,49,0,58.5
2024-06-09,49,0,58.5
2024-06-08,46,0,56
2024-06-07,46,0,56
2024-06-06,45,0,56
2024-06-05,45,0,56
2024-06-04,43,0,56
2024-06-03,42,0,53
2024-06-02,41,0,53
2024-06-01,40,0,51.5
2024-05-31,41,0,50
2024-05-30,42,0,50
2024-05-29,43,0,50
2024-05-28,43,0,48.5
2024-05-27,43,0,48.5
2024-05-26,43,0,48.5
2024-05-25,40,0,48.5
2024-05-24,38,0,48.5
2024-05-23,37,0,46
2024-05-22,37,0,45
2024-05-21,37,0,44
2024-05-20,35,0,44
2024-05-19,33,0,44
2024-05-18,32,0,44
2024-05-17,31,0,44
2024-05-16,30,0,42.5
2024-05-15,29,0,39
2024-05-14,27,0,38
2024-05-13,25,0,37
2024-05-12,25,0,36
2024-05-11,23,0,35
2024-05-10,22,0,34
2024-05-09,21,0,33
2024-05-08,19,0,32
2024-05-07,18,0,32
2024-05-06,19,0,31
2024-05-05,19,0,31
2024-05-04,20,0,30
2024-05-03,20,0,30
2024-05-02,20,0,29
2024-05-01,20,0,28
2024-04-30,21,0,28.5
2024-04-29,21,0,28
2024-04-28,22,0,28
2024-04-27,22,0,28
2024-04-26,23,0,28
2024-04-25,23,0,28
2024-04-24,24,0,28.5
2024-04-23,24,0,28.5
2024-04-22,25,0,28.5
2024-04-21,27,0,28.5
2024-04-20,28,0,28.5
2024-04-19,28,0,28.5
2024-04-18,28,0,28.5
2024-04-17,29,0,28.5
2024-04-16,31,0,29.5
2024-04-15,32,0,29.5
2024-04-14,32,0,29.5
2024-04-13,33,0,29.5
2024-04-12,33,0,29.5
2024-04-11,32,0,29.5
2024-04-10,31,0,29.5
2024-04-09,31,0,29.5
2024-04-08,29,0,31
2024-04-07,29,0,31
2024-04-06,30,0,31
2024-04-05,30,0,31
2024-04-04,31,0,31
2024-04-03,31,0,31
2024-04-02,31,0,31
2024-04-01,32,0,31
2024-03-31,32,0,31
2024-03-30,32,0,31
2024-03-29,32,0,31
2024-03-28,33,0,32
2024-03-27,33,0,32
2024-03-26,34,0,32
2024-03-25,34,0,32
2024-03-24,35,0,32
2024-03-23,35,0,32
2024-03-22,35,0,32
2024-03-21,36,0,32
2024-03-20,36,0,32
2024-03-19,36,0,32
2024-03-18,37,0,32
2024-03-17,37,0,32
2024-03-16,37,0,32
2024-03-15,37,0,32
2024-03-14,38,0,32
2024-03-13,38,0,32
2024-03-12,38,0,32
2024-03-11,39,0,32
2024-03-10,39,0,32
2024-03-09,39,0,33.5
2024-03-08,39,0,33.5
2024-03-07,39,0,33.5
2024-03-06,40,0,33.5
2024-03-05,40,0,33.5
2024-03-04,41,0,33.5
2024-03-03,41,0,33.5
2024-03-02,42,0,33.5
2024-03-01,42,0,33.5
2024-02-29,43,0,33.5
2024-02-28,44,0,33.5
2024-02-27,44,0,33.5
2024-02-26,45,0,33.5
2024-02-25,45,0,33.5
2024-02-24,46,0,33.5
2024-02-23,46,0,35
2024-02-22,47,0,35
2024-02-21,47,0,35
2024-02-20,49,0,35
2024-02-19,49,0,35
2024-02-18,50,0,35
2024-02-17,50,0,35
2024-02-16,50,0,35
2024-02-15,50,0,35
2024-02-14,51,0,37
2024-02-13,52,0,38
2024-02-12,53,0,38
2024-02-11,53,0,38
2024-02-10,53,0,38
2024-02-09,55,0,38
2024-02-08,55,0,38
2024-02-07,56,0,38
2024-02-06,56,0,40
2024-02-05,57,0,40
2024-02-04,58,0,40
2024-02-03,60,0,40
2024-02-02,60,0,40
2024-02-01,61,0,41
2024-01-31,62,0,41
2024-01-30,62,0,41
2024-01-29,62,0,41
2024-01-28,63,0,42
2024-01-27,63,0,42
2024-01-26,65,0,42
2024-01-25,66,0,42
2024-01-24,67,0,42
2024-01-23,69,0,42
2024-01-22,69,0,42
2024-01-21,69,0,42
2024-01-20,70,0,42
2024-01-19,71,0,44.5
2024-01-18,73,0,44.5
2024-01-17,73,0,44.5
2024-01-16,74,0,44.5
2024-01-15,74,0,44.5
2024-01-14,74,0,44.5
2024-01-13,74,0,44.5
2024-01-12,74,0,44.5
2024-01-11,74,0,44.5
2024-01-10,74,0,44.5
2024-01-09,74,0,44.5
2024-01-08,74,0,46
2024-01-07,74,0,46
2024-01-06,74,0,46
2024-01-05,74,0,46
2024-01-04,74,0,46
2024-01-03,76,0,47
2024-01-02,77,0,47
2024-01-01,79,0,47
2023-12-31,80,0,47
2023-12-30,81,0,47
2023-12-29,83,0,49
2023-12-28,83,0,49
2023-12-27,83,0,49
2023-12-26,84,0,51.5
2023-12-25,84,0,51.5
2023-12-24,86,0,51.5
2023-12-23,87,0,51.5
2023-12-22,87,0,54
2023-12-21,87,0,54
2023-12-20,90,0,54
2023-12-19,90,0,54
2023-12-18,90,0,56
2023-12-17,92,0,56
2023-12-16,95,0,56
2023-12-15,98,0,56
2023-12-14,100,0,58
2023-12-13,102,0,58
2023-12-12,105,0,58
2023-12-11,105,0,58
2023-12-10,107,0,59
2023-12-09,107,0,59
2023-12-08,107,0,59
2023-12-07,107,0,59
2023-12-06,109,0,59
2023-12-05,115,0,59
2023-12-04,115,0,61
2023-12-03,122,0,61
2023-12-02,122,0,61
2023-12-01,124,0,61
2023-11-30,131,0,61
2023-11-29,133,0,61
2023-11-28,139,0,61
2023-11-27,141,0,61
2023-11-26,141,0,63.5
2023-11-25,146,0,63.5
2023-11-24,152,0,63.5
2023-11-23,154,0,63.5
2023-11-22,162,0,63.5
2023-11-21,164,0,63.5
2023-11-20,172,0,63.5
2023-11-19,178,0,65
2023-11-18,183,0,65
2023-11-17,185,0,65
2023-11-16,191,0,65
2023-11-15,196,0,65
2023-11-14,202,0,67
2023-11-13,207,0,67
2023-11-12,216,0,67
2023-11-11,223,0,67
2023-11-10,225,0,67
2023-11-09,237,0,67
2023-11-08,237,0,68
2023-11-07,237,0,68
2023-11-06,249,0,68
2023-11-05,237,0,68
2023-11-04,237,0,68
2023-11-03,247,0,69
2023-11-02,256,0,69
2023-11-01,269,0,69
2023-10-31,297,0,69
2023-10-30,297,0,69
2023-10-29,309,0,69
2023-10-28,322,0,70
2023-10-27,346,0,70
2023-10-26,361,0,70
2023-10-25,373,0,70
2023-10-24,379,0,72
2023-10-23,389,0,75
2023-10-22,401,0,76
2023-10-21,408,0,76
2023-10-20,408,0,76
2023-10-19,384,0,76
2023-10-18,384,0,77
2023-10-17,398,0,77.5
2023-10-16,405,0,77.5
2023-10-15,421,0,77.5
2023-10-14,-999,0,77.5
2023-10-13,475,0,78
2023-10-12,492,0,78
2023-10-11,517,0,78
2023-10-10,539,0,78
2023-10-09,539,0,78
2023-10-08,535,0,78.5
2023-10-07,565,0,78.5
2023-10-06,592,0,78.5
2023-10-05,615,0,78.5
