location,elevation,slope,soil_type,date,flood_severity,drought_severity,temp_max,temp_min,precipitation,soil_moisture,Watershed,river_flow,groundwater_level,reservoir_level
Yagoua,330,3,silty,2024-09-30,1,0,32.7,23.8,2.8,79.68,1,659,0,79.0
Yagoua,330,3,silty,2024-09-29,1,0,32.5,23.6,2.5,80.43,1,692,0,79.0
Yagoua,330,3,silty,2024-09-28,1,0,32.4,23.4,0.0,80.43,1,704,0,80.5
Yagoua,330,3,silty,2024-09-27,1,0,32.0,23.4,0.0,81.32,1,717,0,80.5
Yagoua,330,3,silty,2024-09-26,1,0,32.0,23.4,0.0,82.07,1,730,0,80.5
Yagoua,330,3,silty,2024-09-25,1,0,32.0,23.4,3.111,82.07,1,782,0,80.5
Yagoua,330,3,silty,2024-09-24,1,0,32.1,23.1,2.5,82.07,1,813,0,80.5
Yagoua,330,3,silty,2024-09-23,1,0,32.0,23.1,4.2,82.64,1,826,0,80.5
Yagoua,330,3,silty,2024-09-22,1,0,32.0,23.1,4.2,82.64,0,822,0,82.0
Yagoua,330,3,silty,2024-09-21,1,0,32.0,23.1,3.8,82.64,1,813,0,82.0
Yagoua,330,3,silty,2024-09-20,1,0,32.0,23.1,2.6,82.64,1,804,0,82.0
Yagoua,330,3,silty,2024-09-19,1,0,32.0,23.1,0.0,82.64,1,808,0,82.0
Yagoua,330,3,silty,2024-09-18,1,0,32.0,23.1,0.0,83.112,1,813,0,82.0
Yagoua,330,3,silty,2024-09-17,1,0,31.5,23.1,4.5,83.112,1,817,0,82.0
Yagoua,330,3,silty,2024-09-16,1,0,31.5,23.4,5.22,83.112,1,822,0,82.0
Yagoua,330,3,silty,2024-09-15,1,0,31.5,23.4,5.67,83.112,0,831,0,82.0
Yagoua,330,3,silty,2024-09-14,1,0,31.5,23.4,3.1,83.112,0,813,0,84.0
Yagoua,330,3,silty,2024-09-13,1,0,32.5,23.4,2.7,83.112,1,795,0,84.0
Yagoua,330,3,silty,2024-09-12,1,0,32.7,23.4,2.4,84.61,1,795,0,84.0
Yagoua,330,3,silty,2024-09-11,1,0,32.7,23.4,0.0,84.61,1,768,0,84.0
Yagoua,330,3,silty,2024-09-10,1,0,32.7,23.5,3.23,84.61,1,768,0,84.0
Yagoua,330,3,silty,2024-09-09,1,0,32.7,23.4,3.34,84.61,1,755,0,84.0
Yagoua,330,3,silty,2024-09-08,1,0,32.7,23.4,4.15,84.61,1,742,0,86.0
Yagoua,330,3,silty,2024-09-07,1,0,32.9,23.4,6.98,84.61,1,734,0,87.0
Yagoua,330,3,silty,2024-09-06,1,0,32.4,23.4,0.0,84.61,1,725,0,89.0
Yagoua,330,3,silty,2024-09-05,1,0,32.4,23.6,0.0,84.61,0,717,0,90.0
Yagoua,330,3,silty,2024-09-04,1,0,32.4,23.4,3.54,84.61,0,704,0,92.0
Yagoua,330,3,silty,2024-09-03,1,0,32.1,23.4,2.83,84.61,0,700,0,92.0
Yagoua,330,3,silty,2024-09-02,1,0,32.8,23.7,3.11,84.61,0,684,0,94.0
Yagoua,330,3,silty,2024-09-01,1,0,32.8,23.4,0.0,84.61,1,643,0,97.0
Yagoua,330,3,silty,2024-08-31,1,0,32.8,23.7,0.0,84.61,1,615,0,97.0
Yagoua,330,3,silty,2024-08-30,1,0,30.0,23.0,4.38,85.32,1,611,0,97.0
Yagoua,330,3,silty,2024-08-29,1,0,29.0,23.0,7.11,85.54,1,611,0,97.0
Yagoua,330,3,silty,2024-08-28,1,0,31.0,23.0,7.11,86.22,1,643,0,97.0
Yagoua,330,3,silty,2024-08-27,1,0,30.0,23.0,7.11,86.31,1,675,0,97.0
Yagoua,330,3,silty,2024-08-26,1,0,30.0,23.0,6.23,86.34,1,725,0,97.0
Yagoua,330,3,silty,2024-08-25,1,0,30.0,23.0,8.5,86.55,1,713,0,97.0
Yagoua,330,3,silty,2024-08-24,1,0,30.0,23.0,6.45,85.66,1,692,0,97.0
Yagoua,330,3,silty,2024-08-23,1,0,30.0,23.0,6.98,85.66,1,679,0,97.0
Yagoua,330,3,silty,2024-08-22,1,0,30.0,23.0,4.56,86.66,1,651,0,97.0
Yagoua,330,3,silty,2024-08-21,1,0,30.0,23.0,9.33,86.66,1,647,0,97.0
Yagoua,330,3,silty,2024-08-20,1,0,30.0,23.0,7.45,86.66,1,643,0,97.0
Yagoua,330,3,silty,2024-08-19,1,0,30.0,23.0,8.34,86.66,1,651,0,97.0
Yagoua,330,3,silty,2024-08-18,1,0,30.0,23.0,8.34,86.66,1,655,0,97.0
Yagoua,330,3,silty,2024-08-17,1,0,30.0,23.0,8.34,86.66,1,659,0,97.0
Yagoua,330,3,silty,2024-08-16,1,0,30.0,23.0,7.32,86.66,1,692,0,97.0
Yagoua,330,3,silty,2024-08-15,1,0,30.0,23.0,5.31,86.66,1,704,0,97.0
Yagoua,330,3,silty,2024-08-14,1,0,30.0,23.0,7.98,86.66,1,692,0,97.5
Yagoua,330,3,silty,2024-08-13,1,0,30.0,23.0,7.98,86.66,1,659,0,97.5
Yagoua,330,3,silty,2024-08-12,1,0,30.0,23.0,7.98,86.66,1,651,0,97.5
Yagoua,330,3,silty,2024-08-11,1,0,30.0,23.0,7.98,86.66,1,651,0,97.5
Yagoua,330,3,silty,2024-08-10,1,0,30.0,23.0,4.23,86.66,1,631,0,97.5
Yagoua,330,3,silty,2024-08-09,1,0,30.0,23.0,4.23,86.66,1,639,0,97.5
Yagoua,330,3,silty,2024-08-08,1,0,30.0,23.0,9.22,86.66,1,639,0,97.5
Yagoua,330,3,silty,2024-08-07,1,0,30.0,23.0,9.22,86.66,1,623,0,97.5
Yagoua,330,3,silty,2024-08-06,1,0,30.0,23.0,9.22,86.66,1,580,0,97.5
Yagoua,330,3,silty,2024-08-05,1,0,32.0,23.0,8.115,86.66,1,561,0,96.0
Yagoua,330,3,silty,2024-08-04,1,0,31.0,23.0,6.77,86.66,1,565,0,96.0
Yagoua,330,3,silty,2024-08-03,1,0,33.0,23.0,6.77,86.66,1,569,0,96.0
Yagoua,330,3,silty,2024-08-02,1,0,34.0,23.0,6.77,86.66,1,561,0,92.0
Yagoua,330,3,silty,2024-08-01,1,0,34.0,23.0,6.77,86.66,1,554,0,92.0
Yagoua,330,3,silty,2024-07-31,1,0,32.0,23.0,9.55,86.22,1,573,0,92.0
Yagoua,330,3,silty,2024-07-30,1,0,31.0,23.0,8.33,86.22,1,592,0,88.0
Yagoua,330,3,silty,2024-07-29,1,0,33.0,23.0,7.44,86.22,1,584,0,88.0
Yagoua,330,3,silty,2024-07-28,1,0,33.0,24.0,7.99,86.22,1,543,0,88.0
Yagoua,330,3,silty,2024-07-27,0,0,33.0,24.0,7.89,86.22,1,485,0,88.0
Yagoua,330,3,silty,2024-07-26,0,0,33.0,24.0,5.67,86.22,1,458,0,87.0
Yagoua,330,3,silty,2024-07-25,0,0,33.0,24.0,5.67,86.22,1,434,0,86.0
Yagoua,330,3,silty,2024-07-24,0,0,33.0,24.0,8.1,86.22,1,370,0,85.0
Yagoua,330,3,silty,2024-07-23,0,0,33.0,24.0,6.4,86.22,1,349,0,85.0
Yagoua,330,3,silty,2024-07-22,0,0,33.0,24.0,9.4,84.334,1,358,0,85.0
Yagoua,330,3,silty,2024-07-21,0,0,33.0,24.0,9.14,84.334,1,373,0,85.0
Yagoua,330,3,silty,2024-07-20,0,0,33.0,24.0,6.4,84.334,1,361,0,83.5
Yagoua,330,3,silty,2024-07-19,0,0,33.0,24.0,7.34,84.334,1,343,0,83.5
Yagoua,330,3,silty,2024-07-18,0,0,33.0,24.0,7.21,84.334,1,343,0,80.0
Yagoua,330,3,silty,2024-07-17,0,0,33.0,24.0,8.3,84.334,1,340,0,79.0
Yagoua,330,3,silty,2024-07-16,0,0,33.0,24.0,4.65,84.334,1,305,0,78.0
Yagoua,330,3,silty,2024-07-15,0,0,33.0,24.0,4.65,84.334,1,274,0,77.0
Yagoua,330,3,silty,2024-07-14,0,0,33.0,24.0,8.23,84.334,1,225,0,77.0
Yagoua,330,3,silty,2024-07-13,0,0,33.0,24.0,3.78,84.334,1,214,0,76.0
Yagoua,330,3,silty,2024-07-12,0,0,33.0,24.0,6.78,82.334,1,198,0,76.0
Yagoua,330,3,silty,2024-07-11,0,0,33.0,24.0,7.87,79.134,1,170,0,76.0
Yagoua,330,3,silty,2024-07-10,0,0,33.0,24.0,7.87,78.01,1,144,0,76.0
Yagoua,330,3,silty,2024-07-09,0,0,33.0,24.0,7.87,78.01,1,131,0,76.0
Yagoua,330,3,silty,2024-07-08,0,0,33.0,24.0,7.87,78.01,1,122,0,74.0
Yagoua,330,3,silty,2024-07-07,0,0,33.0,24.0,6.45,78.01,1,121,0,73.0
Yagoua,330,3,silty,2024-07-06,0,0,33.0,24.0,7.46,74.64,1,117,0,73.0
Yagoua,330,3,silty,2024-07-05,0,0,33.0,24.0,7.46,74.64,1,115,0,73.0
